Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Slovenia`2
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Peru`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Chinese Taipei`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Argentina`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bahamas`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Colombia`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ghana`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Malaysia`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mongolia`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Pakistan`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Philippines`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Puerto Rico`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Qatar`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Suriname`1
Barcelona 1992 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Thailand`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: USSR`132
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: East Germany`102
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States`94
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: West Germany`45
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`35
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Korea`33
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: China`29
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`24
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`24
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`23
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`16
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`16
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`14
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`14
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`14
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`13
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`12
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`11
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`10
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kenya`9
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherlands`9
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czechoslovakia`8
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`6
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Norway`5
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`4
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`4
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`4
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`4
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Morocco`3
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Turkey`2
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`2
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Argentina`2
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`2
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`2
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Portugal`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Suriname`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Chile`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Costa Rica`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Indonesia`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iran`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherland Antilles`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Peru`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Senegal`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Virgin Islands`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Colombia`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Djibouti`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mongolia`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Pakistan`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Philippines`1
Seoul 1988 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Thailand`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States`174
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: West Germany`59
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`53
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`44
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: China`32
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`32
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`32
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`27
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`24
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`19
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`19
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`18
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherlands`13
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`13
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`11
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`8
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`8
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`6
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`6
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`5
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`4
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Portugal`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Norway`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Turkey`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Venezuela`3
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Morocco`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Kenya`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Nigeria`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Puerto Rico`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Algeria`2
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Pakistan`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Colombia`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Egypt`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ireland`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ivory Coast`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Peru`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Syria`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Thailand`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cameroon`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Dominic Republic`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Iceland`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Taiwan`1
Los Angeles 1984 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Zambia`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Soviet Union`195
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: East Germany`126
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`41
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`32
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`32
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`25
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`21
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cuba`20
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`15
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`14
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czechoslovakia`14
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`12
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`9
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`9
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`8
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Spain`6
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Denmark`5
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: North Korea`5
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Brazil`4
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ethiopia`4
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Austria`4
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Monaco`4
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Mexico`4
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Greece`3
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherlands`3
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Jamaica`3
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`2
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Tanzania`2
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Ireland`2
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: India`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Zimbabwe`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Uganda`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Venezuela`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Guyana`1
Moscow 1980 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Lebanon`1
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Soviet Union`125
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: United States`94
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: East Germany`90
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: West Germany`39
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Romania`27
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Poland`26
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Japan`25
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Bulgaria`22
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Hungary`22
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Cuba`13
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Great Britain`13
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Italy`13
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Canada`11
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: France`9
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Yugoslavia`8
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Czechoslovakia`8
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Finland`6
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: South Korea`6
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Belgium`6
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Sweden`5
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Netherlands`5
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Australia`5
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: New Zealand`4
Montreal 1976 Olympics: How many Gold, Silver & Bronze medals (TOTAL) were won by: Switzerland`4
